company,candidate_id,previous_status,status,fetched,us_title_pass,board_url,source_url,checked_at,ats_type,display_name,identity_evidence,adopt
AC Martin,employer_bbb0be1c5a0942c68317,timeout,readable,6,1,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=ec120d67-f610-401b-951f-1d3eed3b8c81&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=ec120d67-f610-401b-951f-1d3eed3b8c81&ccId=19000101_000001&jobId=627081&source=IN&lang=en_US,2026-09-15T20:23:03Z,adp,AC Martin,Saved employer posting URL and current description reviewed,yes
Alliance Global Group LLC,employer_1bf0394de2fd5f2ab056,timeout,readable,13,5,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=8c2ce031-179d-42b4-a000-63d144542ca1&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=8c2ce031-179d-42b4-a000-63d144542ca1&ccId=19000101_000001&jobId=613939&source=IN&lang=en_US,2026-09-15T20:23:04Z,adp,Alliance Global Group LLC,Saved employer posting URL and current description reviewed,yes
Cadogan Tate Fine Art,employer_91ef7bba47ae8ff5b0b5,unresolved,readable,13,0,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=192c7ab1-36a7-48c9-9186-174a757f98b7&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=192c7ab1-36a7-48c9-9186-174a757f98b7&ccId=19000101_000001&jobId=643409&source=IN&lang=en_US,2026-09-15T20:23:06Z,adp,Cadogan Tate Fine Art,Public welcome and/or complete posting description reviewed against saved employer link,yes
CRL Technologies,employer_a3fe8fb30a367dd6e295,unresolved,readable,21,6,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=4184cb67-fb9d-40ea-8c3c-8a85d93caa67&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=4184cb67-fb9d-40ea-8c3c-8a85d93caa67&ccId=19000101_000001&jobId=599665&source=IN&lang=en_US,2026-09-15T20:23:07Z,adp,CRL Technologies,Public welcome and/or complete posting description reviewed against saved employer link,yes
J. KOKOLAKIS CONTRACTING,employer_c14eff694e1e0d936d85,unresolved,readable,8,1,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=5b62f5eb-3ce4-4e86-a6be-8f21bd42f616&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=5b62f5eb-3ce4-4e86-a6be-8f21bd42f616&ccId=19000101_000001&jobId=958570&source=IN&lang=en_US,2026-09-15T20:23:09Z,adp,J. KOKOLAKIS CONTRACTING,Saved employer posting URL and current description reviewed,yes
Lincoln Center,employer_13f9643f8fbc5bbddf8e,timeout,readable,11,3,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=7421b050-ddd7-4ade-98d4-ab789c0e7a2f&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=7421b050-ddd7-4ade-98d4-ab789c0e7a2f&ccId=19000101_000001&jobId=589040&source=IN&lang=en_US,2026-09-15T20:23:10Z,adp,Lincoln Center,Public welcome and/or complete posting description reviewed against saved employer link,yes
U.S. Ski and Snowboard Association,employer_7a1ea2cdd2c91a999d42,unresolved,readable,1,0,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=06c001b7-4190-429f-a7c9-066fe6eab95e&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=06c001b7-4190-429f-a7c9-066fe6eab95e&ccId=19000101_000001&jobId=605086&source=IN&lang=en_US,2026-09-15T20:23:11Z,adp,U.S. Ski and Snowboard Association,Public welcome and/or complete posting description reviewed against saved employer link,yes
Wooddale Church,employer_aa492053e97cd40e5b83,timeout,readable,7,1,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=38d65de7-85eb-475d-bb5c-7d593bfeacc7&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=38d65de7-85eb-475d-bb5c-7d593bfeacc7&ccId=19000101_000001&jobId=1007267&source=IN&lang=en_US,2026-09-15T20:23:13Z,adp,Wooddale Church,Public welcome and/or complete posting description reviewed against saved employer link,yes
Crystal Taylor Systems Inc,employer_73c9f2c6d299706c2047,unresolved,readable,4,2,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=6d193cfe-9ce7-4dac-9ccc-c8a4c3a6c3d0&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=6d193cfe-9ce7-4dac-9ccc-c8a4c3a6c3d0&ccId=19000101_000001&jobId=638463&source=IN&lang=en_US,2026-09-15T20:23:14Z,adp,Crystal Taylor Systems Inc,CTS welcome and live AV integration JD; ctsavl.com/join-our-team; federal DBA CTS Audio record,yes
ICM Ventures Inc,employer_19275f16a83a251260ad,timeout,readable,23,4,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=5588a3f1-8a58-42f6-bca4-c9f5830f9517&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=5588a3f1-8a58-42f6-bca4-c9f5830f9517&ccId=19000101_000001&jobId=574213&source=IN&lang=en_US,2026-09-15T20:23:16Z,adp,ICM Ventures Inc,Public welcome and/or complete posting description reviewed against saved employer link,yes
Maylor Foundation Contractors LLC,employer_956e652e360777780aa1,timeout,readable,1,1,https://workforcenow.cloud.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=df51eab9-9a3a-48f5-8440-c6187a31b733&ccId=19000101_000001,https://workforcenow.cloud.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=df51eab9-9a3a-48f5-8440-c6187a31b733&ccId=19000101_000001&jobId=12960&source=IN&lang=en_US,2026-09-15T20:21:17Z,adp,Maylor Foundation Contractors LLC,Saved employer posting URL and current description reviewed,yes
AI Signal Research Inc (ASRI),employer_fc8e602d40b2b4e7371f,unresolved,readable,49,6,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=e5e982ff-c68b-47fb-8a91-74bb4dd79879&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=e5e982ff-c68b-47fb-8a91-74bb4dd79879&ccId=19000101_000001&jobId=573974&source=IN&lang=en_US,2026-09-15T20:23:19Z,adp,AI Signal Research Inc (ASRI),Saved employer posting URL and current description reviewed,yes
Blackrock Strategy,employer_6ceec76756b1879c3514,unresolved,readable,7,4,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=0d8aa8d2-61de-4f86-9246-49b6b8e29002&ccId=9202333123210_3,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=0d8aa8d2-61de-4f86-9246-49b6b8e29002&ccId=9202333123210_3&jobId=580516&jwId=9202333123210_1&source=IN&lang=en_US,2026-09-15T20:23:20Z,adp,Blackrock Strategy,Saved employer posting URL and current description reviewed,yes
Niterra,employer_02e17effe9de38b92b43,timeout,readable,29,2,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=23354965-305e-4328-8f00-d2192aa6b2d5&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=23354965-305e-4328-8f00-d2192aa6b2d5&ccId=19000101_000001&jobId=573145&source=IN&lang=en_US,2026-09-15T20:23:22Z,adp,Niterra,Public welcome and/or complete posting description reviewed against saved employer link,yes
